iteration,train_loss,eval_train_loss,val_loss,train_perplexity,val_perplexity,learning_rate,time_ms,mfu_percent
3560,4.3063,,,,,,910.51,0.51
3570,4.1513,,,,,,906.94,0.51
3580,4.058,,,,,,894.85,0.52
3590,4.3521,,,,,,917.13,0.52
3600,4.1204,,,,,,931.45,0.52
3610,4.173,,,,,,893.05,0.52
3620,3.9523,,,,,,902.67,0.52
3630,4.1565,,,,,,906.04,0.53
3640,3.9499,,,,,,917.01,0.53
3650,4.1591,,,,,,921.67,0.53
3660,4.0961,,,,,,901.7,0.53
3670,4.2143,,,,,,902.34,0.53
3680,3.9986,,,,,,900.22,0.53
3690,4.0651,,,,,,889.63,0.53
3700,3.858,,,,,,914.5,0.53
3710,4.1049,,,,,,906.19,0.53
3720,4.0718,,,,,,908.68,0.53
3730,4.0768,,,,,,914.44,0.53
3740,4.0213,,,,,,906.04,0.54
3750,4.1159,4.0613,4.0899,58.04972669288997,59.7339180136643,,58565.26,0.48
3760,4.283,,,,,,910.18,0.49
3770,4.0101,,,,,,914.09,0.49
3780,4.2179,,,,,,914.14,0.5
3790,4.1853,,,,,,926.17,0.5
3800,4.1384,,,,,,914.61,0.5
3810,4.0234,,,,,,911.84,0.51
3820,4.227,,,,,,902.74,0.51
3830,4.1557,,,,,,907.68,0.51
3840,4.2462,,,,,,900.63,0.52
3850,4.1979,,,,,,908.69,0.52
3860,4.177,,,,,,908.91,0.52
3870,4.1079,,,,,,907.03,0.52
3880,4.2552,,,,,,907.62,0.52
3890,4.1042,,,,,,910.26,0.53
3900,4.287,,,,,,916.7,0.53
3910,4.0785,,,,,,906.89,0.53
3920,4.0253,,,,,,911.24,0.53
3930,3.9835,,,,,,904.7,0.53
3940,4.1093,,,,,,907.29,0.53
3950,4.0503,,,,,,898.59,0.53
3960,4.1643,,,,,,912.39,0.53
3970,4.0595,,,,,,904.9,0.53
3980,4.0466,,,,,,900.41,0.54
3990,4.0982,,,,,,913.42,0.54
4000,4.0739,4.0269,4.069,56.08677247681186,58.49843489802471,,58543.6,0.48
4010,3.9839,,,,,,910.75,0.49
4020,3.8654,,,,,,910.31,0.49
4030,4.0548,,,,,,905.28,0.5
4040,4.2756,,,,,,907.14,0.5
4050,4.2039,,,,,,909.43,0.51
4060,4.1804,,,,,,907.6,0.51
4070,4.1646,,,,,,915.27,0.51
4080,4.2711,,,,,,916.49,0.51
4090,4.2903,,,,,,894.24,0.52
4100,4.1247,,,,,,903.16,0.52
4110,3.9249,,,,,,902.39,0.52
4120,4.1967,,,,,,910.42,0.52
4130,3.9909,,,,,,913.82,0.53
4140,4.0773,,,,,,914.18,0.53
4150,4.0006,,,,,,911.66,0.53
4160,4.103,,,,,,905.21,0.53
4170,4.1762,,,,,,910.76,0.53
4180,4.3647,,,,,,903.94,0.53
4190,4.0378,,,,,,911.59,0.53
4200,4.1431,,,,,,893.5,0.53
4210,4.0414,,,,,,914.24,0.53
4220,4.1516,,,,,,922.23,0.53
4230,4.1157,,,,,,905.89,0.53
4240,4.0796,,,,,,903.61,0.53
4250,4.0514,4.0244,4.0409,55.94673067081574,56.87750953556872,,58465.88,0.48
4260,4.0679,,,,,,913.2,0.49
4270,4.12,,,,,,900.32,0.49
4280,4.0601,,,,,,918.15,0.5
4290,4.0372,,,,,,906.75,0.5
4300,4.054,,,,,,900.75,0.51
4310,4.2585,,,,,,905.04,0.51
4320,4.0031,,,,,,908.81,0.51
4330,4.1174,,,,,,928.89,0.51
4340,3.8992,,,,,,914.41,0.52
4350,4.038,,,,,,902.71,0.52
4360,3.9215,,,,,,912.46,0.52
4370,4.0952,,,,,,906.86,0.52
4380,3.9216,,,,,,908.13,0.52
4390,4.0421,,,,,,916.57,0.53
4400,4.1228,,,,,,921.32,0.53
4410,4.1022,,,,,,909.38,0.53
4420,3.9583,,,,,,920.2,0.53
4430,4.0499,,,,,,923.59,0.53
4440,4.1495,,,,,,895.8,0.53
4450,3.9568,,,,,,908.9,0.53
4460,4.0974,,,,,,909.9,0.53
4470,4.1694,,,,,,915.05,0.53
4480,4.018,,,,,,912.36,0.53
4490,4.2921,,,,,,900.03,0.53
4500,3.9668,3.993,4.0294,54.217297521848245,56.22716482531849,,58465.62,0.48
4510,4.0434,,,,,,916.05,0.49
4520,3.9782,,,,,,900.41,0.49
4530,4.0837,,,,,,905.29,0.5
4540,4.0293,,,,,,915.57,0.5
4550,4.1566,,,,,,919.3,0.5
4560,4.2089,,,,,,909.36,0.51
4570,3.9953,,,,,,914.86,0.51
4580,4.1355,,,,,,917.98,0.51
4590,4.0102,,,,,,917.08,0.51
4600,4.1679,,,,,,914.36,0.52
4610,3.9829,,,,,,905.32,0.52
4620,3.938,,,,,,906.11,0.52
4630,4.1789,,,,,,917.07,0.52
